rib,span_mm,chord_mm,station,x_mm,y_upper_mm,y_lower_mm,spar_x_mm
R0,0,211.0,0,0.000,0.0000,-0.0000,63.3
R0,0,211.0,1,10.550,0.5776,-0.5776,63.3
R0,0,211.0,2,21.100,1.1410,-1.1410,63.3
R0,0,211.0,3,31.650,1.6764,-1.6764,63.3
R0,0,211.0,4,42.200,2.1704,-2.1704,63.3
R0,0,211.0,5,52.750,2.6110,-2.6110,63.3
R0,0,211.0,6,63.300,2.9873,-2.9873,63.3
R0,0,211.0,7,73.850,3.2900,-3.2900,63.3
R0,0,211.0,8,84.400,3.5118,-3.5118,63.3
R0,0,211.0,9,94.950,3.6470,-3.6470,63.3
R0,0,211.0,10,105.500,3.6925,-3.6925,63.3
R0,0,211.0,11,116.050,3.6470,-3.6470,63.3
R0,0,211.0,12,126.600,3.5118,-3.5118,63.3
R0,0,211.0,13,137.150,3.2900,-3.2900,63.3
R0,0,211.0,14,147.700,2.9873,-2.9873,63.3
R0,0,211.0,15,158.250,2.6110,-2.6110,63.3
R0,0,211.0,16,168.800,2.1704,-2.1704,63.3
R0,0,211.0,17,179.350,1.6764,-1.6764,63.3
R0,0,211.0,18,189.900,1.1410,-1.1410,63.3
R0,0,211.0,19,200.450,0.5776,-0.5776,63.3
R0,0,211.0,20,211.000,0.0000,-0.0000,63.3
R1,75,175.8,0,0.000,0.0000,-0.0000,52.7
R1,75,175.8,1,8.790,0.4813,-0.4813,52.7
R1,75,175.8,2,17.580,0.9507,-0.9507,52.7
R1,75,175.8,3,26.370,1.3967,-1.3967,52.7
R1,75,175.8,4,35.160,1.8083,-1.8083,52.7
R1,75,175.8,5,43.950,2.1754,-2.1754,52.7
R1,75,175.8,6,52.740,2.4889,-2.4889,52.7
R1,75,175.8,7,61.530,2.7412,-2.7412,52.7
R1,75,175.8,8,70.320,2.9259,-2.9259,52.7
R1,75,175.8,9,79.110,3.0386,-3.0386,52.7
R1,75,175.8,10,87.900,3.0765,-3.0765,52.7
R1,75,175.8,11,96.690,3.0386,-3.0386,52.7
R1,75,175.8,12,105.480,2.9259,-2.9259,52.7
R1,75,175.8,13,114.270,2.7412,-2.7412,52.7
R1,75,175.8,14,123.060,2.4889,-2.4889,52.7
R1,75,175.8,15,131.850,2.1754,-2.1754,52.7
R1,75,175.8,16,140.640,1.8083,-1.8083,52.7
R1,75,175.8,17,149.430,1.3967,-1.3967,52.7
R1,75,175.8,18,158.220,0.9507,-0.9507,52.7
R1,75,175.8,19,167.010,0.4813,-0.4813,52.7
R1,75,175.8,20,175.800,-0.0000,0.0000,52.7
R2,150,140.7,0,0.000,0.0000,-0.0000,42.2
R2,150,140.7,1,7.035,0.3852,-0.3852,42.2
R2,150,140.7,2,14.070,0.7609,-0.7609,42.2
R2,150,140.7,3,21.105,1.1178,-1.1178,42.2
R2,150,140.7,4,28.140,1.4473,-1.4473,42.2
R2,150,140.7,5,35.175,1.7411,-1.7411,42.2
R2,150,140.7,6,42.210,1.9920,-1.9920,42.2
R2,150,140.7,7,49.245,2.1939,-2.1939,42.2
R2,150,140.7,8,56.280,2.3417,-2.3417,42.2
R2,150,140.7,9,63.315,2.4319,-2.4319,42.2
R2,150,140.7,10,70.350,2.4623,-2.4623,42.2
R2,150,140.7,11,77.385,2.4319,-2.4319,42.2
R2,150,140.7,12,84.420,2.3417,-2.3417,42.2
R2,150,140.7,13,91.455,2.1939,-2.1939,42.2
R2,150,140.7,14,98.490,1.9920,-1.9920,42.2
R2,150,140.7,15,105.525,1.7411,-1.7411,42.2
R2,150,140.7,16,112.560,1.4473,-1.4473,42.2
R2,150,140.7,17,119.595,1.1178,-1.1178,42.2
R2,150,140.7,18,126.630,0.7609,-0.7609,42.2
R2,150,140.7,19,133.665,0.3852,-0.3852,42.2
R2,150,140.7,20,140.700,0.0000,-0.0000,42.2
R3,225,105.5,0,0.000,0.0000,-0.0000,31.6
R3,225,105.5,1,5.275,0.2888,-0.2888,31.6
R3,225,105.5,2,10.550,0.5705,-0.5705,31.6
R3,225,105.5,3,15.825,0.8382,-0.8382,31.6
R3,225,105.5,4,21.100,1.0852,-1.0852,31.6
R3,225,105.5,5,26.375,1.3055,-1.3055,31.6
R3,225,105.5,6,31.650,1.4936,-1.4936,31.6
R3,225,105.5,7,36.925,1.6450,-1.6450,31.6
R3,225,105.5,8,42.200,1.7559,-1.7559,31.6
R3,225,105.5,9,47.475,1.8235,-1.8235,31.6
R3,225,105.5,10,52.750,1.8463,-1.8463,31.6
R3,225,105.5,11,58.025,1.8235,-1.8235,31.6
R3,225,105.5,12,63.300,1.7559,-1.7559,31.6
R3,225,105.5,13,68.575,1.6450,-1.6450,31.6
R3,225,105.5,14,73.850,1.4936,-1.4936,31.6
R3,225,105.5,15,79.125,1.3055,-1.3055,31.6
R3,225,105.5,16,84.400,1.0852,-1.0852,31.6
R3,225,105.5,17,89.675,0.8382,-0.8382,31.6
R3,225,105.5,18,94.950,0.5705,-0.5705,31.6
R3,225,105.5,19,100.225,0.2888,-0.2888,31.6
R3,225,105.5,20,105.500,0.0000,-0.0000,31.6
R4,300,70.3,0,0.000,0.0000,-0.0000,21.1
R4,300,70.3,1,3.515,0.1925,-0.1925,21.1
R4,300,70.3,2,7.030,0.3802,-0.3802,21.1
R4,300,70.3,3,10.545,0.5585,-0.5585,21.1
R4,300,70.3,4,14.060,0.7231,-0.7231,21.1
R4,300,70.3,5,17.575,0.8699,-0.8699,21.1
R4,300,70.3,6,21.090,0.9953,-0.9953,21.1
R4,300,70.3,7,24.605,1.0962,-1.0962,21.1
R4,300,70.3,8,28.120,1.1700,-1.1700,21.1
R4,300,70.3,9,31.635,1.2151,-1.2151,21.1
R4,300,70.3,10,35.150,1.2303,-1.2303,21.1
R4,300,70.3,11,38.665,1.2151,-1.2151,21.1
R4,300,70.3,12,42.180,1.1700,-1.1700,21.1
R4,300,70.3,13,45.695,1.0962,-1.0962,21.1
R4,300,70.3,14,49.210,0.9953,-0.9953,21.1
R4,300,70.3,15,52.725,0.8699,-0.8699,21.1
R4,300,70.3,16,56.240,0.7231,-0.7231,21.1
R4,300,70.3,17,59.755,0.5585,-0.5585,21.1
R4,300,70.3,18,63.270,0.3802,-0.3802,21.1
R4,300,70.3,19,66.785,0.1925,-0.1925,21.1
R4,300,70.3,20,70.300,0.0000,-0.0000,21.1
R5,375,35.2,0,0.000,0.0000,-0.0000,10.6
R5,375,35.2,1,1.760,0.0964,-0.0964,10.6
R5,375,35.2,2,3.520,0.1904,-0.1904,10.6
R5,375,35.2,3,5.280,0.2797,-0.2797,10.6
R5,375,35.2,4,7.040,0.3621,-0.3621,10.6
R5,375,35.2,5,8.800,0.4356,-0.4356,10.6
R5,375,35.2,6,10.560,0.4984,-0.4984,10.6
R5,375,35.2,7,12.320,0.5489,-0.5489,10.6
R5,375,35.2,8,14.080,0.5859,-0.5859,10.6
R5,375,35.2,9,15.840,0.6084,-0.6084,10.6
R5,375,35.2,10,17.600,0.6160,-0.6160,10.6
R5,375,35.2,11,19.360,0.6084,-0.6084,10.6
R5,375,35.2,12,21.120,0.5859,-0.5859,10.6
R5,375,35.2,13,22.880,0.5489,-0.5489,10.6
R5,375,35.2,14,24.640,0.4984,-0.4984,10.6
R5,375,35.2,15,26.400,0.4356,-0.4356,10.6
R5,375,35.2,16,28.160,0.3621,-0.3621,10.6
R5,375,35.2,17,29.920,0.2797,-0.2797,10.6
R5,375,35.2,18,31.680,0.1904,-0.1904,10.6
R5,375,35.2,19,33.440,0.0964,-0.0964,10.6
R5,375,35.2,20,35.200,0.0000,-0.0000,10.6
