rib,span_y_mm,chord_mm,x_frac,upper_outer_y_mm,lower_outer_y_mm,upper_web_y_mm,lower_web_y_mm,spar_hole_dia_mm
R0,0.0,210.0,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R0,0.0,210.0,0.05,0.7980,-0.7980,0.2980,-0.2980,6.0
R0,0.0,210.0,0.10,1.5120,-1.5120,1.0120,-1.0120,6.0
R0,0.0,210.0,0.15,2.1420,-2.1420,1.6420,-1.6420,6.0
R0,0.0,210.0,0.20,2.6880,-2.6880,2.1880,-2.1880,6.0
R0,0.0,210.0,0.25,3.1500,-3.1500,2.6500,-2.6500,6.0
R0,0.0,210.0,0.30,3.5280,-3.5280,3.0280,-3.0280,6.0
R0,0.0,210.0,0.35,3.8220,-3.8220,3.3220,-3.3220,6.0
R0,0.0,210.0,0.40,4.0320,-4.0320,3.5320,-3.5320,6.0
R0,0.0,210.0,0.45,4.1580,-4.1580,3.6580,-3.6580,6.0
R0,0.0,210.0,0.50,4.2000,-4.2000,3.7000,-3.7000,6.0
R0,0.0,210.0,0.55,4.1580,-4.1580,3.6580,-3.6580,6.0
R0,0.0,210.0,0.60,4.0320,-4.0320,3.5320,-3.5320,6.0
R0,0.0,210.0,0.65,3.8220,-3.8220,3.3220,-3.3220,6.0
R0,0.0,210.0,0.70,3.5280,-3.5280,3.0280,-3.0280,6.0
R0,0.0,210.0,0.75,3.1500,-3.1500,2.6500,-2.6500,6.0
R0,0.0,210.0,0.80,2.6880,-2.6880,2.1880,-2.1880,6.0
R0,0.0,210.0,0.85,2.1420,-2.1420,1.6420,-1.6420,6.0
R0,0.0,210.0,0.90,1.5120,-1.5120,1.0120,-1.0120,6.0
R0,0.0,210.0,0.95,0.7980,-0.7980,0.2980,-0.2980,6.0
R0,0.0,210.0,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
R1,76.5,184.8,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R1,76.5,184.8,0.05,0.7022,-0.7022,0.2022,-0.2022,6.0
R1,76.5,184.8,0.10,1.3306,-1.3306,0.8306,-0.8306,6.0
R1,76.5,184.8,0.15,1.8850,-1.8850,1.3850,-1.3850,6.0
R1,76.5,184.8,0.20,2.3654,-2.3654,1.8654,-1.8654,6.0
R1,76.5,184.8,0.25,2.7720,-2.7720,2.2720,-2.2720,6.0
R1,76.5,184.8,0.30,3.1046,-3.1046,2.6046,-2.6046,6.0
R1,76.5,184.8,0.35,3.3634,-3.3634,2.8634,-2.8634,6.0
R1,76.5,184.8,0.40,3.5482,-3.5482,3.0482,-3.0482,6.0
R1,76.5,184.8,0.45,3.6590,-3.6590,3.1590,-3.1590,6.0
R1,76.5,184.8,0.50,3.6960,-3.6960,3.1960,-3.1960,6.0
R1,76.5,184.8,0.55,3.6590,-3.6590,3.1590,-3.1590,6.0
R1,76.5,184.8,0.60,3.5482,-3.5482,3.0482,-3.0482,6.0
R1,76.5,184.8,0.65,3.3634,-3.3634,2.8634,-2.8634,6.0
R1,76.5,184.8,0.70,3.1046,-3.1046,2.6046,-2.6046,6.0
R1,76.5,184.8,0.75,2.7720,-2.7720,2.2720,-2.2720,6.0
R1,76.5,184.8,0.80,2.3654,-2.3654,1.8654,-1.8654,6.0
R1,76.5,184.8,0.85,1.8850,-1.8850,1.3850,-1.3850,6.0
R1,76.5,184.8,0.90,1.3306,-1.3306,0.8306,-0.8306,6.0
R1,76.5,184.8,0.95,0.7022,-0.7022,0.2022,-0.2022,6.0
R1,76.5,184.8,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
R2,153.0,159.6,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R2,153.0,159.6,0.05,0.6065,-0.6065,0.1065,-0.1065,6.0
R2,153.0,159.6,0.10,1.1491,-1.1491,0.6491,-0.6491,6.0
R2,153.0,159.6,0.15,1.6279,-1.6279,1.1279,-1.1279,6.0
R2,153.0,159.6,0.20,2.0429,-2.0429,1.5429,-1.5429,6.0
R2,153.0,159.6,0.25,2.3940,-2.3940,1.8940,-1.8940,6.0
R2,153.0,159.6,0.30,2.6813,-2.6813,2.1813,-2.1813,6.0
R2,153.0,159.6,0.35,2.9047,-2.9047,2.4047,-2.4047,6.0
R2,153.0,159.6,0.40,3.0643,-3.0643,2.5643,-2.5643,6.0
R2,153.0,159.6,0.45,3.1601,-3.1601,2.6601,-2.6601,6.0
R2,153.0,159.6,0.50,3.1920,-3.1920,2.6920,-2.6920,6.0
R2,153.0,159.6,0.55,3.1601,-3.1601,2.6601,-2.6601,6.0
R2,153.0,159.6,0.60,3.0643,-3.0643,2.5643,-2.5643,6.0
R2,153.0,159.6,0.65,2.9047,-2.9047,2.4047,-2.4047,6.0
R2,153.0,159.6,0.70,2.6813,-2.6813,2.1813,-2.1813,6.0
R2,153.0,159.6,0.75,2.3940,-2.3940,1.8940,-1.8940,6.0
R2,153.0,159.6,0.80,2.0429,-2.0429,1.5429,-1.5429,6.0
R2,153.0,159.6,0.85,1.6279,-1.6279,1.1279,-1.1279,6.0
R2,153.0,159.6,0.90,1.1491,-1.1491,0.6491,-0.6491,6.0
R2,153.0,159.6,0.95,0.6065,-0.6065,0.1065,-0.1065,6.0
R2,153.0,159.6,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
R3,229.5,134.4,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R3,229.5,134.4,0.05,0.5107,-0.5107,0.0107,-0.0107,6.0
R3,229.5,134.4,0.10,0.9677,-0.9677,0.4677,-0.4677,6.0
R3,229.5,134.4,0.15,1.3709,-1.3709,0.8709,-0.8709,6.0
R3,229.5,134.4,0.20,1.7203,-1.7203,1.2203,-1.2203,6.0
R3,229.5,134.4,0.25,2.0160,-2.0160,1.5160,-1.5160,6.0
R3,229.5,134.4,0.30,2.2579,-2.2579,1.7579,-1.7579,6.0
R3,229.5,134.4,0.35,2.4461,-2.4461,1.9461,-1.9461,6.0
R3,229.5,134.4,0.40,2.5805,-2.5805,2.0805,-2.0805,6.0
R3,229.5,134.4,0.45,2.6611,-2.6611,2.1611,-2.1611,6.0
R3,229.5,134.4,0.50,2.6880,-2.6880,2.1880,-2.1880,6.0
R3,229.5,134.4,0.55,2.6611,-2.6611,2.1611,-2.1611,6.0
R3,229.5,134.4,0.60,2.5805,-2.5805,2.0805,-2.0805,6.0
R3,229.5,134.4,0.65,2.4461,-2.4461,1.9461,-1.9461,6.0
R3,229.5,134.4,0.70,2.2579,-2.2579,1.7579,-1.7579,6.0
R3,229.5,134.4,0.75,2.0160,-2.0160,1.5160,-1.5160,6.0
R3,229.5,134.4,0.80,1.7203,-1.7203,1.2203,-1.2203,6.0
R3,229.5,134.4,0.85,1.3709,-1.3709,0.8709,-0.8709,6.0
R3,229.5,134.4,0.90,0.9677,-0.9677,0.4677,-0.4677,6.0
R3,229.5,134.4,0.95,0.5107,-0.5107,0.0107,-0.0107,6.0
R3,229.5,134.4,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
R4,306.0,109.2,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R4,306.0,109.2,0.05,0.4150,-0.4150,0.0000,0.0000,6.0
R4,306.0,109.2,0.10,0.7862,-0.7862,0.2862,-0.2862,6.0
R4,306.0,109.2,0.15,1.1138,-1.1138,0.6138,-0.6138,6.0
R4,306.0,109.2,0.20,1.3978,-1.3978,0.8978,-0.8978,6.0
R4,306.0,109.2,0.25,1.6380,-1.6380,1.1380,-1.1380,6.0
R4,306.0,109.2,0.30,1.8346,-1.8346,1.3346,-1.3346,6.0
R4,306.0,109.2,0.35,1.9874,-1.9874,1.4874,-1.4874,6.0
R4,306.0,109.2,0.40,2.0966,-2.0966,1.5966,-1.5966,6.0
R4,306.0,109.2,0.45,2.1622,-2.1622,1.6622,-1.6622,6.0
R4,306.0,109.2,0.50,2.1840,-2.1840,1.6840,-1.6840,6.0
R4,306.0,109.2,0.55,2.1622,-2.1622,1.6622,-1.6622,6.0
R4,306.0,109.2,0.60,2.0966,-2.0966,1.5966,-1.5966,6.0
R4,306.0,109.2,0.65,1.9874,-1.9874,1.4874,-1.4874,6.0
R4,306.0,109.2,0.70,1.8346,-1.8346,1.3346,-1.3346,6.0
R4,306.0,109.2,0.75,1.6380,-1.6380,1.1380,-1.1380,6.0
R4,306.0,109.2,0.80,1.3978,-1.3978,0.8978,-0.8978,6.0
R4,306.0,109.2,0.85,1.1138,-1.1138,0.6138,-0.6138,6.0
R4,306.0,109.2,0.90,0.7862,-0.7862,0.2862,-0.2862,6.0
R4,306.0,109.2,0.95,0.4150,-0.4150,0.0000,0.0000,6.0
R4,306.0,109.2,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
R5,382.5,84.0,0.00,0.0000,-0.0000,0.0000,0.0000,6.0
R5,382.5,84.0,0.05,0.3192,-0.3192,0.0000,0.0000,6.0
R5,382.5,84.0,0.10,0.6048,-0.6048,0.1048,-0.1048,6.0
R5,382.5,84.0,0.15,0.8568,-0.8568,0.3568,-0.3568,6.0
R5,382.5,84.0,0.20,1.0752,-1.0752,0.5752,-0.5752,6.0
R5,382.5,84.0,0.25,1.2600,-1.2600,0.7600,-0.7600,6.0
R5,382.5,84.0,0.30,1.4112,-1.4112,0.9112,-0.9112,6.0
R5,382.5,84.0,0.35,1.5288,-1.5288,1.0288,-1.0288,6.0
R5,382.5,84.0,0.40,1.6128,-1.6128,1.1128,-1.1128,6.0
R5,382.5,84.0,0.45,1.6632,-1.6632,1.1632,-1.1632,6.0
R5,382.5,84.0,0.50,1.6800,-1.6800,1.1800,-1.1800,6.0
R5,382.5,84.0,0.55,1.6632,-1.6632,1.1632,-1.1632,6.0
R5,382.5,84.0,0.60,1.6128,-1.6128,1.1128,-1.1128,6.0
R5,382.5,84.0,0.65,1.5288,-1.5288,1.0288,-1.0288,6.0
R5,382.5,84.0,0.70,1.4112,-1.4112,0.9112,-0.9112,6.0
R5,382.5,84.0,0.75,1.2600,-1.2600,0.7600,-0.7600,6.0
R5,382.5,84.0,0.80,1.0752,-1.0752,0.5752,-0.5752,6.0
R5,382.5,84.0,0.85,0.8568,-0.8568,0.3568,-0.3568,6.0
R5,382.5,84.0,0.90,0.6048,-0.6048,0.1048,-0.1048,6.0
R5,382.5,84.0,0.95,0.3192,-0.3192,0.0000,0.0000,6.0
R5,382.5,84.0,1.00,0.0000,-0.0000,0.0000,0.0000,6.0
